NumberOfIntegers,DataStructure,put(),replace(),containsKey(),containsValue(),get(),remove()
,,,,,,,
100000,HashMap,16.32,0.31,0.13,620.35,0.26,0.18
100000,HashMap_Initialized,5.07,0.29,0.1,749.16,0.23,0.13
100000,LinkedHashMap,11.61,0.3,0.1,234.36,0.29,0.19
100000,LinkedHashMap_Initialized,10.98,0.31,0.09,232.99,0.27,0.11
100000,TreeMap,46.77,0.66,0.45,1342.56,0.58,0.59
,,,,,,,
110000,HashMap,9.97,0.27,0.1,727.3,0.25,0.11
110000,HashMap_Initialized,7.15,0.35,0.1,1074.21,0.29,0.12
110000,LinkedHashMap,10.92,0.31,0.1,368.72,0.31,0.12
110000,LinkedHashMap_Initialized,11.51,0.38,0.12,340.6,0.31,0.17
110000,TreeMap,79.82,1.21,0.67,3186.49,0.99,1
,,,,,,,
120000,HashMap,14.53,0.34,0.12,1145.01,0.36,0.16
120000,HashMap_Initialized,13.12,0.4,0.11,1562.87,0.33,0.13
120000,LinkedHashMap,18.84,0.36,0.11,671.18,0.36,0.14
120000,LinkedHashMap_Initialized,7.64,0.4,0.11,495.71,0.36,0.13
120000,TreeMap,57.37,0.69,0.53,2727.21,0.82,0.62
,,,,,,,
130000,HashMap,14.75,0.41,0.13,1273.43,0.41,0.15
130000,HashMap_Initialized,13.05,0.44,0.12,1784.92,0.38,0.14
130000,LinkedHashMap,28.86,0.46,0.16,641.79,0.38,0.15
130000,LinkedHashMap_Initialized,6.38,0.42,0.12,570.78,0.38,0.15
130000,TreeMap,67.86,0.82,0.58,3375.01,0.99,0.7
,,,,,,,
140000,HashMap,21.11,0.42,0.14,1260.87,0.39,0.14
140000,HashMap_Initialized,5.96,0.44,0.14,1478.74,0.37,0.14
140000,LinkedHashMap,9.26,0.35,0.13,588.78,0.45,0.21
140000,LinkedHashMap_Initialized,12.26,0.91,0.4,1212.1,0.7,0.3
140000,TreeMap,103.87,1.2,1.47,4604.15,1.06,0.73
,,,,,,,
150000,HashMap,12.32,0.42,0.15,1420.22,0.43,0.18
150000,HashMap_Initialized,9.11,0.47,0.14,1975.73,0.4,0.16
150000,LinkedHashMap,13.36,0.42,0.16,867.1,0.45,0.18
150000,LinkedHashMap_Initialized,10.99,0.5,0.16,862.83,0.44,0.18
150000,TreeMap,74.34,0.98,0.72,5369.62,1.15,0.79
,,,,,,,
160000,HashMap,18.54,0.52,0.18,1996.33,0.48,0.18
160000,HashMap_Initialized,16.16,0.55,0.17,2775.11,0.8,0.64
160000,LinkedHashMap,60.64,8.42,0.7,1763.82,0.65,0.45
160000,LinkedHashMap_Initialized,9.11,0.52,0.18,848.02,0.48,0.22
160000,TreeMap,78.36,1.07,0.79,6136.96,1.36,1.02
,,,,,,,
170000,HashMap,25.94,0.71,0.26,2259.1,0.57,0.31
170000,HashMap_Initialized,20.01,0.56,0.25,2937.36,0.45,0.2
170000,LinkedHashMap,50.75,0.64,0.23,1121.68,0.52,0.23
170000,LinkedHashMap_Initialized,10.01,0.51,0.18,963.86,0.49,0.22
170000,TreeMap,151.46,2.5,2.83,8751.2,2.53,3.3
,,,,,,,
180000,HashMap,18.02,0.41,0.11,2015.16,0.31,0.12
180000,HashMap_Initialized,14.13,0.43,0.11,2762.6,0.3,0.09
180000,LinkedHashMap,17.07,0.45,0.13,1276.61,0.31,0.14
180000,LinkedHashMap_Initialized,14.6,0.47,0.14,1281.63,0.34,0.15
180000,TreeMap,101.27,1.32,0.97,10239.47,1.98,1.77
,,,,,,,
190000,HashMap,23.38,0.73,0.35,2387.81,0.41,0.2
190000,HashMap_Initialized,12.77,0.92,0.23,2950.38,0.37,0.15
190000,LinkedHashMap,17.12,0.46,0.13,1397.24,0.32,0.19
190000,LinkedHashMap_Initialized,14.79,0.47,0.13,1360.11,0.32,0.14
190000,TreeMap,106.45,1.36,0.99,11189.79,1.66,1.14
,,,,,,,
200000,HashMap,33.68,0.47,0.13,4161.71,0.67,4.74
200000,HashMap_Initialized,13.83,0.54,0.18,2874.59,0.33,0.12
200000,LinkedHashMap,26.83,0.49,0.13,1686.89,0.34,0.16
200000,LinkedHashMap_Initialized,16.33,0.5,0.13,1652.95,0.36,0.15
200000,TreeMap,119.93,1.49,1.12,14513.51,1.74,1.18
,,,,,,,
210000,HashMap,25.57,0.89,0.19,3180.86,0.36,0.13
210000,HashMap_Initialized,15.64,0.66,0.25,3103.2,0.47,0.19
210000,LinkedHashMap,25.86,0.56,0.14,1918.45,0.38,0.19
210000,LinkedHashMap_Initialized,16.49,0.59,0.22,1877,0.44,0.22
210000,TreeMap,128.04,1.59,1.19,16015.29,1.86,1.33
,,,,,,,
220000,HashMap,26.09,0.72,0.07,3304.11,0.16,0.1
220000,HashMap_Initialized,11.82,0.3,0.06,3261.66,0.16,0.08
220000,LinkedHashMap,21.81,0.4,0.06,1971.59,0.17,0.19
220000,LinkedHashMap_Initialized,14.22,0.31,0.06,2015.87,0.17,0.12
220000,TreeMap,126.57,1.7,1.29,17830.3,2.05,1.48
,,,,,,,
230000,HashMap,25.54,0.34,0.08,4233.4,0.2,0.11
230000,HashMap_Initialized,18.94,0.33,0.08,5441.75,0.17,0.11
230000,LinkedHashMap,27.06,0.36,0.09,2651.46,0.2,0.18
230000,LinkedHashMap_Initialized,21.51,0.4,0.08,2667.55,0.18,0.14
230000,TreeMap,164.38,1.81,1.34,20497.11,2.2,1.59
,,,,,,,
240000,HashMap,33.87,0.34,0.08,5265.02,0.2,0.12
240000,HashMap_Initialized,36.91,0.55,0.09,5337.61,0.19,0.12
240000,LinkedHashMap,99.79,0.45,0.11,3872.38,0.2,0.22
240000,LinkedHashMap_Initialized,14.26,0.46,0.12,1470.44,0.19,0.21
240000,TreeMap,140.78,1.78,1.23,20117.63,2.05,1.48
,,,,,,,
250000,HashMap,24.77,0.31,0.09,4233.86,0.18,0.12
250000,HashMap_Initialized,16.86,0.29,0.08,4222.01,0.18,0.11
250000,LinkedHashMap,28.07,0.3,0.09,2689.29,0.2,0.19
250000,LinkedHashMap_Initialized,21.06,0.32,0.08,2730.18,0.2,0.2
250000,TreeMap,163.05,2.3,1.65,25622.76,2.55,1.94
,,,,,,,
260000,HashMap,30.34,0.4,0.11,4663.24,0.19,0.13
260000,HashMap_Initialized,18.28,0.42,0.1,4563.98,0.2,0.12
260000,LinkedHashMap,29.53,0.32,0.1,2925.58,0.2,0.18
260000,LinkedHashMap_Initialized,22.21,0.43,0.12,2954.59,0.2,0.21
260000,TreeMap,167.84,1.95,1.42,28296.72,2.29,1.62
,,,,,,,
270000,HashMap,29.53,0.53,0.1,5104.31,0.2,0.13
270000,HashMap_Initialized,18.79,0.41,0.09,4841.88,0.21,0.15
270000,LinkedHashMap,31.79,0.48,0.1,3181.85,0.23,0.18
270000,LinkedHashMap_Initialized,22.72,0.41,0.09,3197.27,0.23,0.2
270000,TreeMap,176.03,2.04,1.53,30639.38,2.4,1.7
,,,,,,,
280000,HashMap,34.62,0.49,0.11,5516.71,0.21,0.15
280000,HashMap_Initialized,20.57,0.44,0.1,5216.44,0.21,0.14
280000,LinkedHashMap,41.89,2.95,0.23,4532.54,0.46,0.43
280000,LinkedHashMap_Initialized,24.28,0.36,0.11,3464.88,0.22,0.25
280000,TreeMap,188.07,2.17,1.79,32667.98,2.6,1.95
,,,,,,,
290000,HashMap,34.04,0.58,0.13,6812.52,0.23,0.15
290000,HashMap_Initialized,23.41,0.56,0.1,5617.17,0.24,0.16
290000,LinkedHashMap,34.34,0.41,0.14,3751.08,0.23,0.29
290000,LinkedHashMap_Initialized,25.18,0.62,0.15,3729.77,0.23,0.25
290000,TreeMap,196.56,2.3,2.04,36540,2.75,2.06
,,,,,,,
300000,HashMap,37.16,1.16,0.51,5965.1,0.96,0.65
300000,HashMap_Initialized,17.92,1.01,0.45,5854.75,1.07,0.48
300000,LinkedHashMap,42.27,1.46,0.77,4894.04,1.73,1.65
300000,LinkedHashMap_Initialized,28.35,1.23,0.6,3865.96,1.06,0.6
300000,TreeMap,219.62,3.11,2.27,39003.04,3.12,3.06
,,,,,,,
310000,HashMap,24.4,1.26,0.73,6502.6,1,0.47
310000,HashMap_Initialized,36.44,1.1,0.59,6272.88,1.13,0.55
310000,LinkedHashMap,25.49,1.11,0.77,3516.09,1.02,0.46
310000,LinkedHashMap_Initialized,43.83,1.46,0.99,4649.57,2.08,2.68
310000,TreeMap,210.17,2.66,1.97,37793.25,3.11,2.51
,,,,,,,
320000,HashMap,36.31,1.19,0.7,8704.55,1.07,0.49
320000,HashMap_Initialized,21.99,1.19,0.68,7686.55,1.03,0.46
320000,LinkedHashMap,31.14,1.1,0.54,5713.53,1.66,0.98
320000,LinkedHashMap_Initialized,41,1.67,0.9,5825.63,1.06,0.59
320000,TreeMap,293.61,2.94,2.3,31973.76,3.33,2.65
,,,,,,,
330000,HashMap,33.06,1.14,0.65,8233.67,0.93,0.54
