NumberOfIntegers,ArrayList_insert(),ArrayList_insertAt(),ArrayList_searchMethod1(),ArrayList_searchMethod2(),ArrayList_get(),ArrayList_delete(),ArrayList_Initialized_insert(),ArrayList_Initialized_insertAt(),ArrayList_Initialized_searchMethod1(),ArrayList_Initialized_searchMethod2(),ArrayList_Initialized_get(),ArrayList_Initialized_delete(),LinkedList_insert(),LinkedList_insertAt(),LinkedList_searchMethod1(),LinkedList_searchMethod2(),LinkedList_get(),LinkedList_delete(),Vector_insert(),Vector_insertAt(),Vector_searchMethod1(),Vector_searchMethod2(),Vector_get(),Vector_delete(),Vector_Initialized_insert(),Vector_Initialized_insertAt(),Vector_Initialized_searchMethod1(),Vector_Initialized_searchMethod2(),Vector_Initialized_get(),Vector_Initialized_delete()
100000,3,3,3,3,3,3,8,8,8,8,8,8,5,5,5,5,5,5,4,4,4,4,4,4,8,8,8,8,8,8
125000,5,5,5,5,5,5,9,9,9,9,9,9,7,7,7,7,7,7,5,5,5,5,5,5,9,9,9,9,9,9
150000,5,5,5,5,5,5,9,9,9,9,9,9,8,8,8,8,8,8,5,5,5,5,5,5,9,9,9,9,9,9
175000,6,6,6,6,6,6,10,10,10,10,10,10,9,9,9,9,9,9,7,7,7,7,7,7,10,10,10,10,10,10
200000,6,6,6,6,6,6,10,10,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,7,10,10,10,10,10,10
225000,6,6,6,6,6,6,10,10,10,10,10,10,11,11,11,11,11,11,7,7,7,7,7,7,10,10,10,10,10,10
250000,9,9,9,9,9,9,12,12,12,12,12,12,13,13,13,13,13,13,9,9,9,9,9,9,12,12,12,12,12,12
275000,9,9,9,9,9,9,12,12,12,12,12,12,14,14,14,14,14,14,9,9,9,9,9,9,12,12,12,12,12,12
300000,10,10,10,10,10,10,13,13,13,13,13,13,15,15,15,15,15,15,10,10,10,10,10,10,13,13,13,13,13,13
325000,10,10,10,10,10,10,13,13,13,13,13,13,15,16,16,16,16,15,10,11,11,11,11,11,13,13,13,13,13,13
350000,10,10,10,10,10,10,13,13,13,13,13,13,16,17,17,17,17,16,11,11,11,11,11,11,13,13,13,13,13,13
375000,13,13,13,13,13,13,15,15,15,15,15,15,18,18,18,18,18,18,13,13,13,13,13,13,15,15,15,15,15,15
400000,13,13,13,13,13,13,15,15,15,15,15,15,19,19,19,19,19,19,13,13,13,13,13,13,15,15,15,15,15,15
425000,14,14,14,14,14,14,16,16,16,16,16,16,20,20,20,20,20,20,14,14,14,14,14,14,16,16,16,16,16,16
450000,14,14,14,14,14,14,16,16,16,16,16,16,21,21,21,21,21,21,14,14,14,14,14,14,16,16,16,16,16,16
475000,14,14,14,14,14,14,16,16,16,16,16,16,22,22,22,22,22,22,14,14,14,14,14,14,16,16,16,16,16,16
500000,15,15,15,15,15,15,17,17,17,17,17,17,23,23,23,23,23,23,15,15,15,15,15,15,17,17,17,17,17,17
525000,15,15,15,15,15,15,17,17,17,17,17,17,24,24,24,24,24,24,15,15,15,15,15,15,17,17,17,17,17,17
550000,18,18,18,18,18,18,19,19,19,19,19,19,26,26,26,26,26,26,17,17,17,17,17,17,19,19,19,19,19,19
575000,18,18,18,18,18,18,19,19,19,19,19,19,27,27,27,27,27,27,17,17,17,17,17,17,19,19,19,19,19,19
600000,18,18,18,18,18,18,19,19,19,19,19,19,28,28,28,28,28,28,17,17,17,17,17,17,19,19,19,19,19,19
625000,19,19,19,19,19,19,20,20,20,20,20,20,29,29,29,29,29,29,18,18,18,18,18,18,20,20,20,20,20,20
650000,19,19,19,19,19,19,20,20,20,20,20,20,30,30,30,30,30,30,18,21,21,21,21,21,20,20,20,20,20,20
675000,19,19,19,19,19,19,20,20,20,20,20,20,31,31,31,31,31,31,21,21,21,21,21,21,20,20,20,20,20,20
700000,20,20,20,20,20,20,21,21,21,21,21,21,32,32,32,32,32,32,22,22,22,22,22,22,21,21,21,21,21,21
725000,20,20,20,20,20,20,21,21,21,21,21,21,33,33,33,33,33,33,22,22,22,22,22,22,21,21,21,21,21,21
750000,21,21,21,21,21,21,22,22,22,22,22,22,34,34,34,34,34,34,23,23,23,23,23,23,22,22,22,22,22,22
775000,21,21,21,21,21,21,22,22,22,22,22,22,35,35,35,35,35,35,23,23,23,23,23,23,22,22,22,22,22,22
800000,21,21,21,21,21,21,22,22,22,22,22,22,36,36,36,36,36,36,23,23,23,23,23,23,22,22,22,22,22,22
825000,24,24,24,24,24,24,24,24,24,24,24,24,38,38,38,38,38,38,25,25,25,25,25,25,24,24,24,24,24,24
850000,24,24,24,24,24,24,24,24,24,24,24,24,39,39,39,39,39,39,25,25,25,25,25,25,24,24,24,24,24,24
875000,25,25,25,25,25,25,25,25,25,25,25,25,40,40,40,40,40,40,26,26,26,26,26,26,25,25,25,25,25,25
900000,25,25,25,25,25,25,25,25,25,25,25,25,41,41,41,41,41,41,26,26,26,26,26,26,25,25,25,25,25,25
925000,25,25,25,25,25,25,25,25,25,25,25,25,42,42,42,42,42,42,26,26,26,26,26,26,25,25,25,25,25,25
950000,26,26,26,26,26,26,26,26,26,26,26,26,43,43,43,43,43,43,27,27,27,27,27,27,26,26,26,26,26,26
975000,26,26,26,26,26,26,26,26,26,26,26,26,43,44,44,44,44,43,27,27,27,27,27,27,26,26,26,26,26,26
1000000,27,27,27,27,27,27,27,27,27,27,27,27,44,45,45,45,45,44,28,28,28,28,28,28,27,27,27,27,27,27
1025000,27,27,27,27,27,27,27,27,27,27,27,27,45,46,46,46,46,45,28,28,28,28,28,28,27,27,27,27,27,27
1050000,27,27,27,27,27,27,27,29,29,29,29,29,46,47,47,47,47,46,28,28,28,28,28,28,27,31,31,31,31,31
1075000,27,27,27,27,27,27,27,29,29,29,29,29,46,47,47,47,47,46,28,28,28,28,28,28,27,31,31,31,31,31
