NumberOfIntegers,DataStructure,insert(),insertAt(),contains(),indexOf(),get(),delete()

100000,ArrayList,3,3,3,3,3,3
100000,ArrayList_Initialized,42,42,42,42,42,42
100000,LinkedList,5,5,5,5,5,5
100000,Vector,4,4,4,4,4,4
100000,VectorInitialized,42,42,42,42,42,42

150000,ArrayList,5,5,5,5,5,5
150000,ArrayList_Initialized,43,43,43,43,43,43
150000,LinkedList,8,8,8,8,8,8
150000,Vector,5,5,5,5,5,5
150000,VectorInitialized,43,43,43,43,43,43

200000,ArrayList,6,6,6,6,6,6
200000,ArrayList_Initialized,44,44,44,44,44,44
200000,LinkedList,10,10,10,10,10,10
200000,Vector,7,7,7,7,7,7
200000,VectorInitialized,44,44,44,44,44,44

250000,ArrayList,9,9,9,9,9,9
250000,ArrayList_Initialized,46,46,46,46,46,46
250000,LinkedList,13,13,13,13,13,13
250000,Vector,9,9,9,9,9,9
250000,VectorInitialized,46,46,46,46,46,46

300000,ArrayList,10,10,10,10,10,10
300000,ArrayList_Initialized,47,47,47,47,47,47
300000,LinkedList,14,15,15,15,15,14
300000,Vector,10,10,10,10,10,10
300000,VectorInitialized,47,47,47,47,47,47

350000,ArrayList,10,10,10,10,10,10
350000,ArrayList_Initialized,47,47,47,47,47,47
350000,LinkedList,16,16,16,16,16,16
350000,Vector,11,11,11,11,11,11
350000,VectorInitialized,47,47,47,47,47,47

400000,ArrayList,13,13,13,13,13,13
400000,ArrayList_Initialized,49,49,49,49,49,49
400000,LinkedList,19,19,19,19,19,19
400000,Vector,13,13,13,13,13,13
400000,VectorInitialized,49,49,49,49,49,49

450000,ArrayList,14,14,14,14,14,14
450000,ArrayList_Initialized,50,50,50,50,50,50
450000,LinkedList,21,21,21,21,21,21
450000,Vector,14,14,14,14,14,14
450000,VectorInitialized,50,50,50,50,50,50

500000,ArrayList,15,15,15,15,15,15
500000,ArrayList_Initialized,51,51,51,51,51,51
500000,LinkedList,23,23,23,23,23,23
500000,Vector,15,15,15,15,15,15
500000,VectorInitialized,51,51,51,51,51,51

550000,ArrayList,17,17,17,17,17,17
550000,ArrayList_Initialized,52,52,52,52,52,52
550000,LinkedList,26,26,26,26,26,26
550000,Vector,16,16,16,16,16,16
550000,VectorInitialized,52,52,52,52,52,52

600000,ArrayList,18,18,18,18,18,18
600000,ArrayList_Initialized,53,53,53,53,53,53
600000,LinkedList,28,28,28,28,28,28
600000,Vector,17,17,17,17,17,17
600000,VectorInitialized,53,53,53,53,53,53

650000,ArrayList,19,19,19,19,19,19
650000,ArrayList_Initialized,54,54,54,54,54,54
650000,LinkedList,30,30,30,30,30,30
650000,Vector,18,21,21,21,21,21
650000,VectorInitialized,54,54,54,54,54,54

700000,ArrayList,20,20,20,20,20,20
700000,ArrayList_Initialized,55,55,55,55,55,55
700000,LinkedList,32,32,32,32,32,32
700000,Vector,22,22,22,22,22,22
700000,VectorInitialized,55,55,55,55,55,55

750000,ArrayList,21,21,21,21,21,21
750000,ArrayList_Initialized,56,56,56,56,56,56
750000,LinkedList,34,34,34,34,34,34
