NumberOfIntegers,DataStructure,insert(),insertAt(),contains(),indexOf(),get(),delete()

100000,ArrayList,3,3,3,3,3,3
100000,ArrayList_Initialized,11,11,11,11,11,11
100000,LinkedList,5,5,5,5,5,5
100000,Vector,4,4,4,4,4,4
100000,VectorInitialized,11,11,11,11,11,11

150000,ArrayList,5,5,5,5,5,5
150000,ArrayList_Initialized,12,12,12,12,12,12
150000,LinkedList,8,8,8,8,8,8
150000,Vector,6,6,6,6,6,6
150000,VectorInitialized,13,13,13,13,13,13

200000,ArrayList,7,7,7,7,7,7
200000,ArrayList_Initialized,14,14,14,14,14,14
200000,LinkedList,10,10,10,10,10,10
200000,Vector,8,8,8,8,8,8
200000,VectorInitialized,14,14,14,14,14,14

250000,ArrayList,9,9,9,9,9,9
250000,ArrayList_Initialized,15,15,15,15,15,15
250000,LinkedList,13,13,13,13,13,13
250000,Vector,9,9,9,9,9,9
250000,VectorInitialized,15,15,15,15,15,15

300000,ArrayList,10,10,10,10,10,10
300000,ArrayList_Initialized,16,16,16,16,16,16
300000,LinkedList,15,15,15,15,15,15
300000,Vector,10,10,10,10,10,10
300000,VectorInitialized,16,16,16,16,16,16

350000,ArrayList,11,11,11,11,11,11
350000,ArrayList_Initialized,17,17,17,17,17,17
350000,LinkedList,17,17,17,17,17,17
350000,Vector,12,12,12,12,12,12
350000,VectorInitialized,17,17,17,17,17,17

400000,ArrayList,14,14,14,14,14,14
400000,ArrayList_Initialized,19,19,19,19,19,19
400000,LinkedList,20,20,20,20,20,20
400000,Vector,14,14,14,14,14,14
400000,VectorInitialized,19,19,19,19,19,19

450000,ArrayList,14,14,14,14,14,14
450000,ArrayList_Initialized,19,19,19,19,19,19
450000,LinkedList,22,22,22,22,22,22
450000,Vector,14,14,14,14,14,14
450000,VectorInitialized,19,19,19,19,19,19

500000,ArrayList,15,15,15,15,15,15
500000,ArrayList_Initialized,20,20,20,20,20,20
500000,LinkedList,24,24,24,24,24,24
500000,Vector,15,15,15,15,15,15
500000,VectorInitialized,20,20,20,20,20,20

550000,ArrayList,18,18,18,18,18,18
550000,ArrayList_Initialized,22,22,22,22,22,22
550000,LinkedList,27,27,27,27,27,27
550000,Vector,17,17,17,17,17,17
550000,VectorInitialized,22,22,22,22,22,22

600000,ArrayList,19,19,19,19,19,19
600000,ArrayList_Initialized,23,23,23,23,23,23
600000,LinkedList,28,29,29,29,29,28
600000,Vector,18,18,18,18,18,18
600000,VectorInitialized,23,23,23,23,23,23

650000,ArrayList,20,20,20,20,20,20
650000,ArrayList_Initialized,24,24,24,24,24,24
650000,LinkedList,30,31,31,31,31,30
650000,Vector,19,22,22,22,22,22
650000,VectorInitialized,24,24,24,24,24,24

700000,ArrayList,20,20,20,20,20,20
700000,ArrayList_Initialized,24,24,24,24,24,24
700000,LinkedList,32,33,33,33,33,32
700000,Vector,22,22,22,22,22,22
700000,VectorInitialized,24,24,24,24,24,24

750000,ArrayList,21,21,21,21,21,21
750000,ArrayList_Initialized,25,25,25,25,25,25
750000,LinkedList,34,34,34,34,34,34
