NumberOfIntegers,DataStructure,insert(),insertAt(),contains(),indexOf(),get(),delete()

100000,ArrayList,7.7,11.06,2.99,3.01,0.08,11.25
100000,ArrayList_Initialized,2.8,5.21,0.27,0.27,0.08,5.22
100000,LinkedList,7.71,1.55,3.62,0.83,1.47,0.15
100000,Vector,7.66,11.5,2.59,3.03,0.16,14.77
100000,Vector_Initialized,2.78,5.15,0.28,0.26,0.07,5.35

150000,ArrayList,3.79,12.26,0.56,0.57,0.12,12.4
150000,ArrayList_Initialized,2.84,11.68,0.57,0.53,0.11,12.04
150000,LinkedList,7.19,1.38,1.88,2.04,1.37,0.11
150000,Vector,3.88,14.73,0.54,0.52,0.1,14.11
150000,Vector_Initialized,3.3,11.35,0.53,0.58,0.12,11.75

200000,ArrayList,3.13,20.52,1.03,1.03,0.17,21.04
200000,ArrayList_Initialized,2.23,22.24,0.92,0.92,0.14,22.99
200000,LinkedList,2.72,2.36,3.35,3.29,2.23,0.11
200000,Vector,3.8,25.36,0.99,0.93,0.16,26.05
200000,Vector_Initialized,2.81,23.33,0.9,0.92,0.14,24.49

250000,ArrayList,5.72,40.83,2.27,2.42,0.23,41.58
250000,ArrayList_Initialized,2.5,48.49,1.51,1.53,0.18,43.97
250000,LinkedList,26.04,4.05,5.88,5.21,3.81,0.17
250000,Vector,2.56,31.96,1.41,1.48,0.17,31.87
250000,Vector_Initialized,1.84,31.57,1.43,1.81,0.17,31.62

300000,ArrayList,5.91,47.27,2.24,2.22,0.21,48.13
300000,ArrayList_Initialized,6.57,46.76,2.1,2.12,0.21,46.96
300000,LinkedList,7.25,5.27,7.34,7.48,5.18,0.16
300000,Vector,6.56,54.77,2.19,2.18,0.22,56.12
300000,Vector_Initialized,6.08,59.79,2.19,2.19,0.22,60.74

350000,ArrayList,8.16,84.1,3.25,3.1,0.26,83.12
350000,ArrayList_Initialized,5.74,75.59,2.94,3.0,0.25,73.86
350000,LinkedList,35.06,7.32,10.27,10.5,7.04,0.2
