NumberOfIntegers,DataStructure,put(),replace(),containsKey(),containsValue(),get(),remove()

100000,HashMap,16.47,0.33,0.13,646.43,0.28,0.22
100000,HashMap_Initialized,7.37,0.37,0.12,1304.67,0.29,0.17
100000,LinkedHashMap,12.1,0.36,0.11,248.79,0.3,0.2
100000,LinkedHashMap_Initialized,8.94,0.42,0.11,261.5,0.28,0.11
100000,TreeMap,55.9,0.73,0.52,1560.47,0.89,0.65

125000,HashMap,17.43,0.41,0.13,1401.57,0.39,0.14
125000,HashMap_Initialized,13.75,0.43,0.12,2465.7,0.47,0.17
125000,LinkedHashMap,15.49,0.52,0.18,551.33,0.41,0.16
125000,LinkedHashMap_Initialized,19.14,0.46,0.13,469.94,0.55,0.23
125000,TreeMap,69.02,0.85,0.63,3284.89,0.84,0.81

150000,HashMap,20.95,0.44,0.15,1540.65,0.51,0.19
150000,HashMap_Initialized,11.57,0.5,0.14,3163.94,0.5,0.21
150000,LinkedHashMap,12.27,0.41,0.16,796.88,0.43,0.17
150000,LinkedHashMap_Initialized,8.99,0.47,0.14,754.78,0.5,0.19
150000,TreeMap,76.7,0.97,0.71,4926.2,1.12,0.81

175000,HashMap,29.5,0.62,0.27,2557.49,0.56,0.21
175000,HashMap_Initialized,9.49,0.57,0.19,3585.58,0.51,0.19
175000,LinkedHashMap,12.38,0.56,0.21,1003.64,0.53,0.21
175000,LinkedHashMap_Initialized,11.41,0.62,0.22,996.97,0.56,0.21
175000,TreeMap,94.63,1.16,0.84,8356.75,1.45,1.05

200000,HashMap,21.21,1.08,0.41,2944.26,0.59,0.24
200000,HashMap_Initialized,15.25,0.7,0.25,4359.86,0.61,0.22
200000,LinkedHashMap,24.16,0.63,0.22,1632.35,0.62,0.25
200000,LinkedHashMap_Initialized,17.33,0.8,0.29,1639.58,0.78,0.35
200000,TreeMap,117.55,1.48,1.09,12767.91,1.8,1.17

225000,HashMap,32.33,0.91,0.45,4016.28,0.67,0.31
225000,HashMap_Initialized,15.83,0.83,0.3,5482.85,0.69,0.27
225000,LinkedHashMap,25.9,0.76,0.29,2238.73,0.73,0.44
