NumberOfIntegers,ArrayList_insert(),ArrayList_insertAt(),ArrayList_searchMethod1(),ArrayList_searchMethod2(),ArrayList_get(),ArrayList_delete(),ArrayList_Initialized_insert(),ArrayList_Initialized_insertAt(),ArrayList_Initialized_searchMethod1(),ArrayList_Initialized_searchMethod2(),ArrayList_Initialized_get(),ArrayList_Initialized_delete(),LinkedList_insert(),LinkedList_insertAt(),LinkedList_searchMethod1(),LinkedList_searchMethod2(),LinkedList_get(),LinkedList_delete(),Vector_insert(),Vector_insertAt(),Vector_searchMethod1(),Vector_searchMethod2(),Vector_get(),Vector_delete(),Vector_Initialized_insert(),Vector_Initialized_insertAt(),Vector_Initialized_searchMethod1(),Vector_Initialized_searchMethod2(),Vector_Initialized_get(),Vector_Initialized_delete()
100000,3,3,3,3,3,3,11,11,11,11,11,11,5,5,5,5,5,5,4,4,4,4,4,4,11,11,11,11,11,11
125000,5,5,5,5,5,5,12,12,12,12,12,12,7,7,7,7,7,7,5,5,5,5,5,5,12,12,12,12,12,12
150000,5,5,5,5,5,5,12,12,12,12,12,12,8,8,8,8,8,8,5,5,5,5,5,5,12,12,12,12,12,12
175000,6,6,6,6,6,6,13,13,13,13,13,13,9,9,9,9,9,9,7,7,7,7,7,7,13,13,13,13,13,13
200000,6,6,6,6,6,6,13,13,13,13,13,13,10,10,10,10,10,10,7,7,7,7,7,7,13,13,13,13,13,13
225000,6,6,6,6,6,6,13,13,13,13,13,13,11,11,11,11,11,11,7,7,7,7,7,7,13,13,13,13,13,13
250000,9,9,9,9,9,9,15,15,15,15,15,15,13,13,13,13,13,13,9,9,9,9,9,9,15,15,15,15,15,15
275000,9,9,9,9,9,9,15,15,15,15,15,15,14,14,14,14,14,14,9,9,9,9,9,9,15,15,15,15,15,15
300000,10,10,10,10,10,10,16,16,16,16,16,16,15,15,15,15,15,15,10,10,10,10,10,10,16,16,16,16,16,16
325000,10,10,10,10,10,10,16,16,16,16,16,16,15,16,16,16,16,15,10,11,11,11,11,11,16,16,16,16,16,16
350000,10,10,10,10,10,10,16,16,16,16,16,16,16,17,17,17,17,16,11,11,11,11,11,11,16,16,16,16,16,16
375000,13,13,13,13,13,13,18,18,18,18,18,18,18,18,18,18,18,18,13,13,13,13,13,13,18,18,18,18,18,18
400000,13,13,13,13,13,13,18,18,18,18,18,18,19,19,19,19,19,19,13,13,13,13,13,13,18,18,18,18,18,18
425000,14,14,14,14,14,14,19,19,19,19,19,19,20,20,20,20,20,20,14,14,14,14,14,14,19,19,19,19,19,19
450000,14,14,14,14,14,14,19,19,19,19,19,19,21,21,21,21,21,21,14,14,14,14,14,14,19,19,19,19,19,19
475000,14,14,14,14,14,14,19,19,19,19,19,19,22,22,22,22,22,22,14,14,14,14,14,14,19,19,19,19,19,19
500000,15,15,15,15,15,15,20,20,20,20,20,20,23,23,23,23,23,23,15,15,15,15,15,15,20,20,20,20,20,20
525000,15,15,15,15,15,15,20,20,20,20,20,20,24,24,24,24,24,24,15,15,15,15,15,15,20,20,20,20,20,20
550000,18,18,18,18,18,18,22,22,22,22,22,22,26,26,26,26,26,26,17,17,17,17,17,17,22,22,22,22,22,22
575000,18,18,18,18,18,18,22,22,22,22,22,22,27,27,27,27,27,27,17,17,17,17,17,17,22,22,22,22,22,22
600000,18,18,18,18,18,18,22,22,22,22,22,22,28,28,28,28,28,28,17,17,17,17,17,17,22,22,22,22,22,22
625000,19,19,19,19,19,19,23,23,23,23,23,23,29,29,29,29,29,29,18,18,18,18,18,18,23,23,23,23,23,23
650000,19,19,19,19,19,19,23,23,23,23,23,23,30,30,30,30,30,30,18,21,21,21,21,21,23,23,23,23,23,23
675000,19,19,19,19,19,19,23,23,23,23,23,23,31,31,31,31,31,31,21,21,21,21,21,21,23,23,23,23,23,23
700000,20,20,20,20,20,20,24,24,24,24,24,24,32,32,32,32,32,32,22,22,22,22,22,22,24,24,24,24,24,24
725000,20,20,20,20,20,20,24,24,24,24,24,24,33,33,33,33,33,33,22,22,22,22,22,22,24,24,24,24,24,24
750000,21,21,21,21,21,21,25,25,25,25,25,25,34,34,34,34,34,34,23,23,23,23,23,23,25,25,25,25,25,25
775000,21,21,21,21,21,21,25,25,25,25,25,25,35,35,35,35,35,35,23,23,23,23,23,23,25,25,25,25,25,25
800000,21,21,21,21,21,21,25,25,25,25,25,25,36,36,36,36,36,36,23,23,23,23,23,23,25,25,25,25,25,25
825000,24,24,24,24,24,24,27,27,27,27,27,27,38,38,38,38,38,38,25,25,25,25,25,25,27,27,27,27,27,27
850000,24,24,24,24,24,24,27,27,27,27,27,27,39,39,39,39,39,39,25,25,25,25,25,25,27,27,27,27,27,27
875000,25,25,25,25,25,25,28,28,28,28,28,28,40,40,40,40,40,40,26,26,26,26,26,26,28,28,28,28,28,28
900000,25,25,25,25,25,25,28,28,28,28,28,28,41,41,41,41,41,41,26,26,26,26,26,26,28,28,28,28,28,28
925000,25,25,25,25,25,25,28,28,28,28,28,28,42,42,42,42,42,42,26,26,26,26,26,26,28,28,28,28,28,28
950000,26,26,26,26,26,26,29,29,29,29,29,29,43,43,43,43,43,43,27,27,27,27,27,27,29,29,29,29,29,29
975000,26,26,26,26,26,26,29,29,29,29,29,29,43,44,44,44,44,43,27,27,27,27,27,27,29,29,29,29,29,29
1000000,27,27,27,27,27,27,30,30,30,30,30,30,44,45,45,45,45,44,28,28,28,28,28,28,30,30,30,30,30,30
1025000,27,27,27,27,27,27,30,30,30,30,30,30,45,46,46,46,46,45,28,28,28,28,28,28,30,30,30,30,30,30
1050000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1075000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
1100000,27,27,27,27,27,27,30,30,30,30,30,30,46,47,47,47,47,46,28,28,28,28,28,28,30,30,30,30,30,30
