NumberOfIntegers,ArrayList_insert(),ArrayList_insertAt(),ArrayList_searchMethod1(),ArrayList_searchMethod2(),ArrayList_get(),ArrayList_delete(),ArrayList_Initialized_insert(),ArrayList_Initialized_insertAt(),ArrayList_Initialized_searchMethod1(),ArrayList_Initialized_searchMethod2(),ArrayList_Initialized_get(),ArrayList_Initialized_delete(),LinkedList_insert(),LinkedList_insertAt(),LinkedList_searchMethod1(),LinkedList_searchMethod2(),LinkedList_get(),LinkedList_delete(),Vector_insert(),Vector_insertAt(),Vector_searchMethod1(),Vector_searchMethod2(),Vector_get(),Vector_delete(),Vector_Initialized_insert(),Vector_Initialized_insertAt(),Vector_Initialized_searchMethod1(),Vector_Initialized_searchMethod2(),Vector_Initialized_get(),Vector_Initialized_delete()
100000,1.46,5.04,0.27,0.27,0.05,5.07,0.78,5.42,0.21,0.21,0.0,5.19,0.53,0.57,0.83,0.81,0.56,0.04,0.59,5.22,0.27,0.27,0.05,5.29,0.65,5.47,0.22,0.22,0.0,5.29
150000,2.21,11.79,0.47,0.47,0.0,11.8,0.97,12.08,0.48,0.48,0.0,11.99,0.87,1.25,1.77,1.77,1.17,0.01,0.95,12.1,0.49,0.48,0.0,12.05,0.99,11.92,0.48,0.48,0.0,11.89
200000,3.3,21.16,0.84,0.85,0.0,21.25,1.33,21.57,0.86,0.86,0.0,21.51,0.88,2.18,3.13,3.12,2.07,0.01,1.33,21.51,0.87,0.86,0.0,21.57,1.38,21.57,0.87,0.86,0.0,21.55
250000,4.54,33.31,1.36,1.36,0.0,33.6,1.7,33.51,1.36,1.36,0.0,33.65,1.4,3.5,4.92,4.94,3.31,0.01,1.82,33.25,1.37,1.35,0.01,33.33,1.71,33.49,1.39,1.37,0.01,33.66
300000,6.69,47.77,2.02,2.02,0.0,48.16,2.05,48.33,2.03,2.04,0.0,48.64,1.95,5.2,7.21,7.23,4.84,0.01,2.22,48.69,2.1,2.1,0.01,48.92,2.12,48.76,2.09,2.08,0.01,49.0
350000,7.17,78.24,2.92,2.95,0.0,79.06,2.4,77.38,2.87,2.87,0.0,77.89,2.21,6.91,9.78,9.89,6.59,0.01,2.94,78.41,2.99,3.01,0.01,78.83,2.47,78.56,2.99,3.01,0.01,79.09
400000,7.59,121.61,3.89,3.92,0.0,122.62,2.94,121.45,3.9,3.93,0.0,123.19,2.33,8.89,12.76,12.89,8.63,0.01,3.64,121.57,4.01,4.06,0.01,123.21,3.24,120.86,3.98,4.02,0.01,122.67
450000,8.86,166.99,5.01,5.04,0.0,168.46,3.15,166.17,4.96,4.97,0.0,168.21,3.27,11.55,16.46,16.79,11.05,0.01,4.13,168.39,5.23,5.31,0.01,170.14,3.59,175.24,5.5,5.51,0.01,177.36
500000,8.81,225.7,6.61,6.76,0.0,227.27,4.22,227.52,6.75,6.87,0.0,228.66,4.09,15.14,21.59,21.79,14.46,0.02,5.38,228.9,7.13,7.08,0.01,229.43,4.24,230.63,7.04,7.26,0.01,230.86
550000,9.62,273.51,8.14,8.28,0.0,273.65,4.16,269.11,7.97,8.07,0.0,270.39,4.71,17.02,24.72,25.02,16.58,0.02,5.32,268.02,8.17,8.29,0.01,268.67,4.37,269.01,8.26,8.38,0.01,270.4
600000,9.92,322.3,9.66,9.77,0.0,323.23,4.66,320.72,9.6,9.68,0.0,322.23,5.77,20.18,29.4,29.7,19.67,0.02,5.57,320.09,9.82,9.99,0.01,321.66,5.1,319.68,9.81,10.0,0.01,321.56
650000,13.02,377.52,11.33,11.45,0.0,378.89,4.77,374.47,11.17,11.28,0.0,376.11,6.36,23.63,34.65,34.89,23.09,0.03,5.35,377.34,11.58,11.73,0.01,376.7,4.98,372.41,11.38,11.48,0.01,373.78
700000,13.7,435.13,12.99,13.1,0.0,436.49,5.14,435.44,13.13,13.21,0.0,438.31,6.38,30.75,44.53,44.8,30.03,0.03,7.64,452.59,14.51,14.84,0.02,454.06,5.59,441.84,13.81,14.04,0.02,443.86
750000,10.92,503.29,15.18,15.29,0.0,504.84,5.8,503.83,15.3,15.4,0.0,506.33,8.57,31.34,46.7,47.06,30.73,0.03,8.63,516.38,16.89,16.78,0.02,518.72,6.66,522.34,16.68,17.17,0.02,526.04
800000,15.67,575.74,17.53,17.66,0.0,577.12,6.02,576.29,17.55,17.59,0.0,579.72,14.91,37.83,55.92,55.93,37.48,0.04,8.4,584.86,18.66,18.86,0.02,586.45,6.43,572.06,17.8,17.96,0.02,574.08
850000,12.0,650.3,19.81,19.84,0.0,651.5,6.74,644.89,19.6,19.61,0.0,648.74,6.8,40.14,60.22,60.59,39.52,0.03,8.35,643.85,20.05,20.1,0.02,645.37,6.75,645.47,20.21,20.29,0.02,647.62
900000,12.59,726.54,22.15,22.11,0.01,729.27,7.18,731.45,22.82,22.28,0.01,733.67,7.77,45.12,68.29,68.54,44.35,0.03,9.27,725.63,22.77,22.78,0.02,728.96,7.27,726.26,22.76,22.81,0.02,729.41
