NumberOfIntegers,ArrayList_insert(),ArrayList_insertAt(),ArrayList_searchMethod1(),ArrayList_searchMethod2(),ArrayList_get(),ArrayList_delete(),ArrayList_Initialized_insert(),ArrayList_Initialized_insertAt(),ArrayList_Initialized_searchMethod1(),ArrayList_Initialized_searchMethod2(),ArrayList_Initialized_get(),ArrayList_Initialized_delete(),LinkedList_insert(),LinkedList_insertAt(),LinkedList_searchMethod1(),LinkedList_searchMethod2(),LinkedList_get(),LinkedList_delete(),Vector_insert(),Vector_insertAt(),Vector_searchMethod1(),Vector_searchMethod2(),Vector_get(),Vector_delete(),Vector_Initialized_insert(),Vector_Initialized_insertAt(),Vector_Initialized_searchMethod1(),Vector_Initialized_searchMethod2(),Vector_Initialized_get(),Vector_Initialized_delete()
100000,2.16,5.69,0.53,0.54,0.08,5.75,1.14,5.09,0.26,0.26,0.07,5.17,2.28,0.69,1.04,0.84,0.67,0.07,2.68,5.83,0.51,0.55,0.09,6.15,0.71,5.2,0.26,0.26,0.07,5.24
150000,3.27,11.35,0.53,0.53,0.1,11.42,1.14,11.83,0.55,0.57,0.11,12.0,2.91,1.32,1.88,1.85,1.28,0.08,1.14,11.97,0.56,0.56,0.11,12.09,1.1,11.95,0.56,0.57,0.11,12.11
200000,5.73,20.86,0.93,0.92,0.12,21.35,1.31,20.55,0.86,0.85,0.02,20.89,3.19,2.3,3.29,3.27,2.23,0.11,1.59,21.93,0.92,0.92,0.13,21.27,1.37,19.97,0.82,0.8,0.02,20.02
250000,4.41,32.31,1.37,1.37,0.04,32.49,4.16,32.67,1.35,1.35,0.0,33.47,12.98,3.58,5.09,5.09,3.48,0.11,6.01,33.19,1.42,1.4,0.03,33.79,1.87,33.26,1.39,1.37,0.0,33.73
300000,5.51,47.54,2.0,1.97,0.0,48.44,4.56,48.83,2.04,2.03,0.0,49.3,1.27,5.08,7.22,7.32,4.89,0.03,4.21,48.56,2.12,2.08,0.01,49.0,2.24,48.52,2.1,2.07,0.01,49.16
350000,2.78,77.41,2.88,2.87,0.0,78.82,2.76,77.89,2.89,2.87,0.0,78.93,11.97,6.94,10.01,10.12,6.73,0.03,3.14,77.35,2.93,2.91,0.01,78.3,2.73,77.07,2.91,2.89,0.01,77.89
400000,12.57,121.01,3.87,3.88,0.0,123.12,2.8,119.67,3.78,3.81,0.0,121.81,2.26,8.9,12.81,12.97,8.74,0.02,25.73,123.18,4.0,3.99,0.01,123.93,4.31,121.91,4.01,4.03,0.01,124.3
450000,3.79,165.35,4.88,4.91,0.0,167.48,3.48,164.69,4.9,4.92,0.0,167.3,3.38,11.63,16.43,16.75,11.08,0.02,16.95,165.21,4.97,5.02,0.01,166.54,3.44,166.68,5.22,5.24,0.01,169.04
500000,4.24,213.57,6.23,6.29,0.0,215.25,5.39,216.19,6.31,6.39,0.0,215.57,4.8,14.03,20.45,20.81,13.67,0.02,4.13,214.47,6.5,6.61,0.01,216.11,4.03,213.88,6.51,6.6,0.01,216.35
550000,5.93,261.62,7.65,7.69,0.0,263.24,5.16,261.38,7.66,7.72,0.0,262.78,28.72,17.04,24.48,24.69,16.39,0.02,4.85,260.55,7.8,7.87,0.01,262.89,3.99,255.76,7.54,7.54,0.01,257.73
