NumberOfIntegers,ArrayList_insert(),ArrayList_insertAt(),ArrayList_searchMethod1(),ArrayList_searchMethod2(),ArrayList_get(),ArrayList_delete(),ArrayList_Initialized_insert(),ArrayList_Initialized_insertAt(),ArrayList_Initialized_searchMethod1(),ArrayList_Initialized_searchMethod2(),ArrayList_Initialized_get(),ArrayList_Initialized_delete(),LinkedList_insert(),LinkedList_insertAt(),LinkedList_searchMethod1(),LinkedList_searchMethod2(),LinkedList_get(),LinkedList_delete(),Vector_insert(),Vector_insertAt(),Vector_searchMethod1(),Vector_searchMethod2(),Vector_get(),Vector_delete(),Vector_Initialized_insert(),Vector_Initialized_insertAt(),Vector_Initialized_searchMethod1(),Vector_Initialized_searchMethod2(),Vector_Initialized_get(),Vector_Initialized_delete()
100000,2.22,5.78,0.54,0.54,0.07,5.81,1.17,5.18,0.26,0.26,0.1,5.32,2.33,0.7,1.05,0.85,0.67,0.07,2.92,5.85,0.5,0.53,0.08,5.94,0.76,5.13,0.26,0.26,0.07,5.18
125000,1.04,8.08,0.39,0.39,0.09,8.05,1.0,8.06,0.39,0.39,0.09,8.15,1.05,0.91,1.28,1.28,0.88,0.06,0.88,8.29,0.4,0.4,0.09,8.4,0.91,8.27,0.4,0.41,0.09,8.41
150000,4.78,11.63,0.55,0.54,0.1,11.56,1.0,11.53,0.5,0.5,0.03,11.76,0.57,1.34,1.87,1.86,1.26,0.08,0.9,11.96,0.56,0.56,0.11,12.12,1.08,11.91,0.52,0.51,0.03,12.03
175000,3.36,15.25,0.64,0.62,0.02,15.45,2.9,15.28,0.64,0.64,0.02,15.67,7.54,1.89,2.55,2.54,1.73,0.09,1.32,16.18,0.67,0.67,0.02,16.41,1.32,17.8,0.68,0.67,0.02,16.5
200000,3.45,21.05,0.89,0.91,0.02,21.64,3.45,21.02,0.86,0.86,0.0,21.49,6.5,2.3,3.28,3.22,2.2,0.05,1.45,19.86,0.84,0.86,0.02,20.1,1.39,19.9,0.81,0.79,0.0,20.05
225000,11.1,26.1,1.05,1.04,0.0,26.43,1.54,26.12,1.06,1.06,0.0,26.6,2.29,2.85,4.07,4.1,2.74,0.02,10.08,26.47,1.1,1.07,0.0,26.74,1.59,25.2,1.03,1.02,0.0,25.56
250000,5.51,31.93,1.33,1.32,0.0,32.65,4.98,35.2,1.38,1.37,0.0,33.87,1.02,3.63,5.06,5.09,3.39,0.03,3.95,33.5,1.39,1.37,0.01,33.8,1.85,33.48,1.39,1.38,0.01,33.86
275000,5.01,39.22,1.61,1.6,0.0,39.51,4.57,39.54,1.65,1.63,0.0,40.09,6.08,4.1,6.0,6.1,4.06,0.01,5.7,39.47,1.66,1.63,0.01,39.94,5.32,39.11,1.67,1.64,0.01,39.74
300000,5.59,48.66,2.08,2.05,0.0,49.09,5.06,48.79,2.04,2.04,0.0,49.27,6.69,4.87,7.14,7.27,4.88,0.01,6.24,48.65,2.11,2.09,0.01,49.31,3.02,47.01,2.03,1.99,0.01,47.22
325000,4.39,57.8,2.44,2.42,0.0,58.75,4.03,58.39,2.47,2.46,0.0,59.0,5.23,5.75,8.43,8.6,5.75,0.01,4.64,60.45,2.53,2.52,0.01,59.78,4.63,60.23,2.53,2.54,0.01,60.95
350000,6.52,77.35,2.91,2.93,0.0,79.15,5.85,78.13,2.93,2.91,0.0,79.31,7.81,6.71,9.96,10.03,6.65,0.01,7.42,78.19,3.01,3.01,0.01,79.52,6.81,78.95,3.01,3.0,0.01,80.1
375000,5.14,98.83,3.38,3.39,0.0,100.38,4.16,98.48,3.29,3.27,0.0,98.13,1.54,7.58,11.14,11.15,7.53,0.01,3.05,97.07,3.41,3.39,0.01,98.63,2.83,97.51,3.43,3.46,0.01,99.55
400000,3.07,118.04,3.71,3.7,0.0,119.86,2.83,120.39,3.86,3.84,0.0,122.75,2.06,9.33,13.04,13.23,8.76,0.01,3.33,121.82,4.01,4.07,0.01,124.4,3.02,120.67,3.94,3.93,0.01,122.96
