NumberOfIntegers,DataStructure,insert(),insertAt(),contains(),indexOf(),get(),delete()

100000,ArrayList,6.75,10.76,3.08,3.13,0.11,10.86
100000,ArrayList_Initialized,2.94,5.23,0.28,0.26,0.07,5.09
100000,LinkedList,8.39,1.57,2.8,0.84,1.5,0.17
100000,Vector,7.39,10.81,2.67,3.13,0.16,14.04
100000,Vector_Initialized,2.96,5.18,0.27,0.26,0.07,5.1

150000,ArrayList,5.44,12.7,0.62,0.62,0.12,12.77
150000,ArrayList_Initialized,4.16,12.73,0.61,0.6,0.12,12.76
150000,LinkedList,8.57,1.5,2.13,2.12,1.45,0.11
150000,Vector,4.9,11.94,1.0,0.73,0.15,11.99
150000,Vector_Initialized,1.74,12.37,0.54,0.57,0.1,11.47

200000,ArrayList,2.97,20.61,0.97,0.9,0.13,20.31
200000,ArrayList_Initialized,2.17,20.08,0.91,0.89,0.13,20.26
200000,LinkedList,2.13,2.31,3.27,3.27,2.25,0.13
200000,Vector,2.58,20.17,0.96,0.92,0.15,20.49
200000,Vector_Initialized,2.43,20.25,0.91,0.89,0.14,20.23

250000,ArrayList,2.48,31.32,1.5,1.41,0.17,31.52
250000,ArrayList_Initialized,2.04,31.88,1.43,1.44,0.17,31.82
250000,LinkedList,2.48,3.95,5.54,5.15,3.52,0.15
250000,Vector,1.9,31.44,1.45,1.42,0.16,32.42
250000,Vector_Initialized,1.72,32.18,1.49,1.76,0.18,32.15

300000,ArrayList,4.73,45.4,2.13,2.1,0.2,45.4
300000,ArrayList_Initialized,4.32,45.54,2.1,2.08,0.21,47.63
300000,LinkedList,6.0,5.16,7.33,7.41,5.1,0.18
300000,Vector,4.98,45.55,2.12,2.07,0.2,46.06
300000,Vector_Initialized,4.8,46.23,2.08,2.05,0.21,45.61

350000,ArrayList,5.03,72.75,2.95,2.96,0.24,74.64
350000,ArrayList_Initialized,6.1,74.55,2.94,2.91,0.24,74.5
350000,LinkedList,1.97,6.94,9.95,9.94,6.86,0.21
350000,Vector,2.76,72.64,2.94,2.89,0.25,74.18
350000,Vector_Initialized,2.46,73.13,2.99,2.92,0.26,74.54

400000,ArrayList,3.9,114.77,3.86,3.84,0.26,116.72
400000,ArrayList_Initialized,3.37,115.41,4.0,3.97,0.27,119.89
400000,LinkedList,4.82,9.13,13.0,13.0,9.11,0.23
400000,Vector,4.72,118.49,3.76,3.75,0.28,115.63
400000,Vector_Initialized,3.72,114.23,3.78,3.9,0.26,118.33

450000,ArrayList,8.66,163.23,5.16,5.23,0.31,163.08
450000,ArrayList_Initialized,7.91,160.09,5.04,4.97,0.31,161.74
450000,LinkedList,10.93,11.38,16.43,16.65,11.92,0.26
450000,Vector,10.17,163.61,4.82,4.86,0.3,163.12
450000,Vector_Initialized,9.18,161.13,4.97,5.09,0.31,163.35

500000,ArrayList,14.39,285.31,6.23,6.34,0.35,206.77
500000,ArrayList_Initialized,3.87,212.59,6.16,6.39,0.35,204.41
500000,LinkedList,3.21,14.08,21.77,20.33,14.1,0.28
500000,Vector,4.18,205.91,6.58,6.44,0.37,205.93
500000,Vector_Initialized,9.16,206.15,6.23,6.28,0.36,209.7

550000,ArrayList,10.33,249.02,7.6,7.45,0.38,249.66
550000,ArrayList_Initialized,9.7,243.05,7.12,7.19,0.38,248.22
550000,LinkedList,10.32,16.91,24.43,24.87,16.78,0.32
550000,Vector,11.54,254.38,7.29,7.45,0.38,252.33
550000,Vector_Initialized,11.37,252.91,7.73,7.63,0.4,252.3

600000,ArrayList,11.96,298.16,8.7,8.95,0.11,312.41
600000,ArrayList_Initialized,10.89,348.69,12.69,9.03,0.08,347.75
600000,LinkedList,11.78,21.12,31.23,38.89,28.49,0.47
600000,Vector,24.57,344.22,10.81,11.49,0.16,339.05
600000,Vector_Initialized,12.41,321.03,13.44,9.39,0.08,330.93

650000,ArrayList,10.29,409.1,12.69,10.54,0.06,376.79
650000,ArrayList_Initialized,7.63,370.02,10.73,10.8,0.06,369.06
650000,LinkedList,9.18,24.43,35.49,35.68,24.37,0.41
650000,Vector,8.85,388.88,10.51,11.09,0.33,383.3
650000,Vector_Initialized,8.83,371.11,10.97,11.25,0.06,371.72

700000,ArrayList,17.95,451.45,12.9,12.01,0.11,471.59
700000,ArrayList_Initialized,17.03,453.93,15.18,15.1,0.06,445.46
700000,LinkedList,16.14,28.09,41.02,40.68,27.31,0.47
700000,Vector,15.25,415.49,12.58,11.83,0.05,422.79
700000,Vector_Initialized,14.55,418.98,15.81,15.09,0.06,424.41

750000,ArrayList,19.78,490.68,21.16,15.06,0.07,501.8
750000,ArrayList_Initialized,16.26,511.69,15.67,15.66,0.18,496.85
750000,LinkedList,121.31,37.48,54.14,49.12,31.86,0.42
750000,Vector,9.02,512.33,14.69,14.86,0.08,503.78
750000,Vector_Initialized,24.62,498.43,15.07,14.4,0.18,495.37

800000,ArrayList,19.98,574.99,18.09,16.89,0.01,567.31
800000,ArrayList_Initialized,15.22,560.55,18.32,17.24,0.0,558.64
800000,LinkedList,111.19,41.27,58.68,55.11,35.58,0.44
800000,Vector,9.39,573.12,17.19,16.89,0.02,578.87
800000,Vector_Initialized,7.66,572.25,17.01,16.8,0.02,574.05

850000,ArrayList,21.99,623.88,19.03,19.42,0.01,641.74
850000,ArrayList_Initialized,15.81,621.99,22.82,20.47,0.01,636.04
850000,LinkedList,16.82,40.22,60.9,61.65,40.72,0.14
850000,Vector,22.94,637.85,19.41,19.68,0.02,637.47
850000,Vector_Initialized,21.06,631.9,18.67,19.16,0.02,634.87

900000,ArrayList,17.1,722.36,20.88,20.77,0.01,719.93
900000,ArrayList_Initialized,13.36,701.1,21.23,20.94,0.01,717.23
900000,LinkedList,11.61,46.15,68.39,68.56,45.56,0.1
900000,Vector,17.21,706.49,22.54,21.97,0.02,725.7
900000,Vector_Initialized,13.46,741.18,22.77,24.17,0.02,736.65

950000,ArrayList,22.76,820.6,23.29,28.18,0.01,796.54
